會計科目,1304 台聚 (上市塑膠工業)
　　　現金及約當現金,7927403
　　　透過損益按公允價值衡量之金融資產－流動,6358025
　　　透過其他綜合損益按公允價值衡量之金融資產－流動,174789
　　　按攤銷後成本衡量之金融資產－流動,506129
　　　應收票據淨額,634435
　　　應收帳款淨額,6411077
　　　其他應收款淨額,277131
　　　本期所得稅資產,11919
　　　存貨,4919506
　　　預付款項,782608
　　　其他流動資產,17150
　　流動資產合計,28020172
　　　透過其他綜合損益按公允價值衡量之金融資產－非流動,2196724
　　　按攤銷後成本衡量之金融資產－非流動,311942
　　　採用權益法之投資,14867168
　　　不動產、廠房及設備,23228911
　　　使用權資產,885508
　　　投資性不動產淨額,524408
　　　無形資產,286030
　　　遞延所得稅資產,643715
　　　其他非流動資產,461208
　　非流動資產合計,43405614
　資產總額,71425786
　　　短期借款,4258980
　　　應付短期票券,1352810
　　　透過損益按公允價值衡量之金融負債－流動,4136
　　　應付帳款,2757368
　　　其他應付款,1938026
　　　本期所得稅負債,517913
　　　租賃負債－流動,70814
　　　其他流動負債,1734335
　　流動負債合計,12634382
　　　應付公司債,6991327
　　　長期借款,9049770
　　　負債準備－非流動,136375
　　　遞延所得稅負債,1411901
　　　租賃負債－非流動,481964
　　　其他非流動負債,1543120
　　非流動負債合計,19614457
　負債總額,32248839
　　　　普通股股本,11887635
　　　股本合計,11887635
　　　資本公積合計,271613
　　　　法定盈餘公積,2979753
　　　　特別盈餘公積,430526
　　　　未分配盈餘（或待彌補虧損）,4346640
　　　保留盈餘合計,7756919
　　　　其他權益－其他,-781058
　　　其他權益合計,-781058
　　　庫藏股票,-475606
　　歸屬於母公司業主之權益合計,18659503
　　非控制權益,20517444
　權益總額,39176947
　負債及權益總計,71425786
　預收股款（權益項下）之約當發行股數（單位：股）,0
　母公司暨子公司所持有之母公司庫藏股股數（單位：股）,116465574
