會計科目,1304 台聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,7118722
　停業單位稅前淨利（淨損）,4273
　本期稅前淨利（淨損）,7122995
　　　折舊費用,2279397
　　　攤銷費用,73804
　　　預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-2415
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-25657
　　　利息費用,224338
　　　利息收入,-102548
　　　股利收入,-186949
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,165161
　　　處分及報廢不動產、廠房及設備損失（利益）,37249
　　　非金融資產減損損失,31856
　　　非金融資產減損迴轉利益,24765
　　　其他項目,0
　　　收益費損項目合計,2519001
　　　　強制透過損益按公允價值衡量之金融資產（增加）減少,888587
　　　　應收票據（增加）減少,-37141
　　　　應收帳款（增加）減少,-396848
　　　　其他應收款（增加）減少,-6149
　　　　存貨（增加）減少,601880
　　　　預付款項（增加）減少,11943
　　　　其他流動資產（增加）減少,7316
　　　　與營業活動相關之資產之淨變動合計,1069588
　　　　應付票據增加（減少）,0
　　　　應付帳款增加（減少）,649469
　　　　其他應付款增加（減少）,368359
　　　　負債準備增加（減少）,-11831
　　　　其他流動負債增加（減少）,111543
　　　　淨確定福利負債增加(減少),-179158
　　　　與營業活動相關之負債之淨變動合計,938382
　　　與營業活動相關之資產及負債之淨變動合計,2007970
　　調整項目合計,4526971
　營運產生之現金流入（流出）,11649966
　收取之利息,92369
　支付之利息,-236861
　退還（支付）之所得稅,-689753
營業活動之淨現金流入（流出）,10815721
　取得透過其他綜合損益按公允價值衡量之金融資產,0
　處分透過其他綜合損益按公允價值衡量之金融資產,76643
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,83402
　取得按攤銷後成本衡量之金融資產,78793
　取得採用權益法之投資,-5122441
　取得不動產、廠房及設備,-2330747
　處分不動產、廠房及設備,25612
　存出保證金增加,0
　存出保證金減少,14836
　取得無形資產,-113
　取得投資性不動產,-85673
　其他非流動資產增加,0
　其他非流動資產減少,32231
　收取之股利,186949
　其他投資活動,0
　投資活動之淨現金流入（流出）,-7040508
　短期借款減少,-1532710
　應付短期票券減少,-696000
　發行公司債,0
　償還公司債,-1000000
　舉借長期借款,13380000
　償還長期借款,-15283200
　存入保證金增加,0
　存入保證金減少,-4133
　租賃本金償還,-68659
　其他非流動負債減少,-778
　發放現金股利,-594382
　非控制權益變動,3920420
　籌資活動之淨現金流入（流出）,-1879442
匯率變動對現金及約當現金之影響,-186167
本期現金及約當現金增加（減少）數,1709604
期初現金及約當現金餘額,7927403
期末現金及約當現金餘額,9637007
　資產負債表帳列之現金及約當現金,9637007
