會計科目,1304 台聚 (上市塑膠工業)
　銷貨收入淨額,71755542
營業收入合計,71755542
　銷貨成本,54001841
營業成本合計,54001841
營業毛利（毛損）,17753701
營業毛利（毛損）淨額,17753701
　　推銷費用,3163322
　　管理費用,1277631
　　研究發展費用,429830
　營業費用合計,4870783
營業利益（損失）,12882918
　　利息收入,79601
　　其他收入,627387
　　其他利益及損失淨額,57628
　　財務成本淨額,167097
　　採用權益法認列之關聯企業及合資損益之份額淨額,-727995
　營業外收入及支出合計,-130476
稅前淨利（淨損）,12752442
所得稅費用（利益）合計,2672991
繼續營業單位本期淨利（淨損）,10079451
本期淨利（淨損）,10079451
　　　確定福利計畫之再衡量數,-9779
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,107187
　　　與不重分類之項目相關之所得稅,1691
　不重分類至損益之項目：,95717
　　　國外營運機構財務報表換算之兌換差額,-337228
　　　與可能重分類之項目相關之所得稅,-54262
　後續可能重分類至損益之項目：,-282966
　其他綜合損益（淨額）,-187249
本期綜合損益總額,9892202
　母公司業主（淨利∕損）,5191394
　非控制權益（淨利∕損）,4888057
　母公司業主（綜合損益）,5615597
　非控制權益（綜合損益）,4276605
　　繼續營業單位淨利（淨損）,4.84
　　停業單位淨利（淨損）,0
　基本每股盈餘,4.84
　　繼續營業單位淨利（淨損）,4.83
　　停業單位淨利（淨損）,0
　稀釋每股盈餘,4.83
