會計科目,1304 台聚 (上市塑膠工業)
　　　現金及約當現金,11924303
　　　透過損益按公允價值衡量之金融資產－流動,6601266
　　　備供出售金融資產－流動淨額,201785
　　　無活絡市場之債務工具投資－流動淨額,432207
　　　應收票據淨額,909025
　　　應收帳款淨額,6141045
　　　其他應收款淨額,259613
　　　本期所得稅資產,20847
　　　存貨,6669407
　　　預付款項,706110
　　　其他流動資產,14567
　　流動資產合計,33880175
　　　備供出售金融資產－非流動淨額,1981822
　　　以成本衡量之金融資產－非流動淨額,803057
　　　無活絡市場之債務工具投資－非流動淨額,310660
　　　採用權益法之投資淨額,155219
　　　不動產、廠房及設備,22804814
　　　投資性不動產淨額,189407
　　　無形資產,417620
　　　生物資產－非流動,23134
　　    遞延所得稅資產,742972
　　　其他非流動資產,686595
　　非流動資產合計,28115300
　資產總額,61995475
　　　短期借款,4949168
　　　應付短期票券,2472068
　　　透過損益按公允價值衡量之金融負債－流動,9027
　　　應付帳款,3581036
　　　其他應付款,1956662
　　    本期所得稅負債,341875
　　　負債準備－流動,23041
　　　其他流動負債,959084
　　流動負債合計,14291961
　　　應付公司債,3993064
　　　長期借款,7247800
　　　遞延所得稅負債,1371504
　　　其他非流動負債,3071660
　　非流動負債合計,15684028
　負債總額,29975989
　　　　普通股股本,11426024
　　　股本合計,11426024
　　　資本公積合計,216135
　　　　法定盈餘公積,2695673
　　　　特別盈餘公積,411010
　　　　未分配盈餘（或待彌補虧損）,3367821
　　　保留盈餘合計,6474504
　　　其他權益合計,85739
　　　庫藏股票,-475606
　　歸屬於母公司業主之權益合計,17726796
　　非控制權益,14292690
　權益總額,32019486
　負債及權益總額,61995475
　待註銷股本股數（單位：股）,0
　預收股款（權益項下）之約當發行股數（單位：股）,0
　母公司暨子公司所持有之母公司庫藏股股數（單位：股）,111943075
