會計科目,1304 台聚 (上市塑膠工業)
　銷貨收入淨額,58133943
營業收入合計,58133943
　銷貨成本,51007011
營業成本合計,51007011
營業毛利（毛損）,7126932
營業毛利（毛損）淨額,7126932
　　推銷費用,2038049
　　管理費用,1322296
　　研究發展費用,388920
　營業費用合計,3749265
營業利益（損失）,3377667
　　其他收入,578255
　　其他利益及損失淨額,-223854
　　財務成本淨額,237257
　　採用權益法認列之關聯企業及合資損益之份額淨額,-6541
　營業外收入及支出合計,110603
稅前淨利（淨損）,3488270
所得稅費用（利益）合計,776220
繼續營業單位本期淨利（淨損）,2712050
　停業單位損益合計,-2197
本期淨利（淨損）,2709853
　　確定福利計畫之再衡量數,-59016
　　與不重分類之項目相關之所得稅,-9003
　　國外營運機構財務報表換算之兌換差額,-416317
　　備供出售金融資產未實現評價損益,30985
　　與可能重分類之項目相關之所得稅,-64791
　其他綜合損益（淨額）,-370554
本期綜合損益總額,2339299
　母公司業主（淨利╱損）,1111290
　非控制權益（淨利╱損）,1598563
　母公司業主（綜合損益）,970032
　非控制權益（綜合損益）,1369267
　　繼續營業單位淨利（淨損）,1.06
　　停業單位淨利（淨損）,0
　基本每股盈餘,1.06
　　繼續營業單位淨利（淨損）,1.06
　　停業單位淨利（淨損）,0
　稀釋每股盈餘,1.06
