會計科目,1304 台聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,2522427
　停業單位稅前淨利（淨損）,7467
　本期稅前淨利（淨損）,2529894
　　　折舊費用,1976338
　　　攤銷費用,75961
　　　預期信用減損損失（利益）數╱呆帳費用提列（轉列收入）數,2236
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,11169
　　　利息費用,271182
　　　利息收入,-171664
　　　股利收入,-186003
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,-32271
　　　處分及報廢不動產、廠房及設備損失（利益）,8520
　　　處分投資性不動產損失（利益）,0
　　　處分其他資產損失（利益）,-262617
　　　處分投資損失（利益）,0
　　　處分採用權益法之投資損失（利益）,-116576
　　　金融資產減損損失,0
　　　非金融資產減損損失,243282
　　　其他項目,148839
　　　收益費損項目合計,1968396
　　　　持有供交易之金融資產（增加）減少,223672
　　　　應收票據（增加）減少,102194
　　　　應收帳款（增加）減少,-584389
　　　　其他應收款（增加）減少,65807
　　　　存貨（增加）減少,-22349
　　　　預付款項（增加）減少,41209
　　　　其他流動資產（增加）減少,-1150
　　　　與營業活動相關之資產之淨變動合計,-175006
　　　　應付票據增加（減少）,123
　　　　應付帳款增加（減少）,-572867
　　　　其他應付款增加（減少）,-16890
　　　　負債準備增加（減少）,-12664
　　　　其他流動負債增加（減少）,4504
　　　　淨確定福利負債增加(減少),-757957
　　　　與營業活動相關之負債之淨變動合計,-1355751
　　　與營業活動相關之資產及負債之淨變動合計,-1530757
　　調整項目合計,437639
　營運產生之現金流入（流出）,2967533
　收取之利息,171205
　支付之利息,-268333
　退還（支付）之所得稅,-650579
營業活動之淨現金流入（流出）,2219826
　取得透過其他綜合損益按公允價值衡量之金融資產,-9826
　處分透過其他綜合損益按公允價值衡量之金融資產,114110
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,44648
　處分按攤銷後成本衡量之金融資產,-12951
　處分備供出售金融資產,0
　處分無活絡市場之債務工具投資,0
　以成本衡量之金融資產減資退回股款,0
　取得採用權益法之投資,-5117787
　處分採用權益法之投資,128659
　對子公司之收購（扣除所取得之現金）,0
　取得不動產、廠房及設備,-2077699
　處分不動產、廠房及設備,8330
　存出保證金增加,-11052
　存出保證金減少,0
　取得無形資產,-7170
　其他非流動資產增加,-8263
　其他非流動資產減少,0
　其他預付款項增加,-5562
　其他預付款項減少,291368
　收取之股利,186003
　其他投資活動,36866
　投資活動之淨現金流入（流出）,-6440326
　短期借款增加,2974586
　短期借款減少,0
　應付短期票券減少,-169722
　發行公司債,0
　舉借長期借款,20970400
　償還長期借款,-19530524
　存入保證金增加,2319
　存入保證金減少,0
　其他非流動負債減少,-10053
　發放現金股利,-349636
　非控制權益變動,104461
　籌資活動之淨現金流入（流出）,3991831
匯率變動對現金及約當現金之影響,-121889
本期現金及約當現金增加（減少）數,-350558
期初現金及約當現金餘額,8473862
期末現金及約當現金餘額,8123304
　資產負債表帳列之現金及約當現金,8123304
