會計科目,1304 台聚 (上市塑膠工業)
　銷貨收入淨額,60892513
營業收入合計,60892513
　銷貨成本,55097773
營業成本合計,55097773
營業毛利（毛損）,5794740
營業毛利（毛損）淨額,5794740
　　推銷費用,2048027
　　管理費用,1392314
　　研究發展費用,421600
　營業費用合計,3861941
營業利益（損失）,1932799
　　其他收入,616677
　　其他利益及損失淨額,185075
　　財務成本淨額,244395
　　採用權益法認列之關聯企業及合資損益之份額淨額,32271
　營業外收入及支出合計,589628
稅前淨利（淨損）,2522427
所得稅費用（利益）合計,654078
繼續營業單位本期淨利（淨損）,1868349
　停業單位損益合計,7467
本期淨利（淨損）,1875816
　　　確定福利計畫之再衡量數,4895
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-24377
　　　與不重分類之項目相關之所得稅,-17566
　　　國外營運機構財務報表換算之兌換差額,-74387
　　　備供出售金融資產未實現評價損益,0
　　　與可能重分類之項目相關之所得稅,-15726
　其他綜合損益（淨額）,-60577
本期綜合損益總額,1815239
　母公司業主（淨利╱損）,539935
　非控制權益（淨利╱損）,1335881
　母公司業主（綜合損益）,366533
　非控制權益（綜合損益）,1448706
　　繼續營業單位淨利（淨損）,0.5
　　停業單位淨利（淨損）,0
　基本每股盈餘,0.5
　　繼續營業單位淨利（淨損）,0.5
　　停業單位淨利（淨損）,0
　稀釋每股盈餘,0.5
