會計科目,1308 亞聚 (上市塑膠工業)
　　　現金及約當現金,1134203
　　　透過損益按公允價值衡量之金融資產－流動,1612711
　　　透過其他綜合損益按公允價值衡量之金融資產－流動,67601
　　　備供出售金融資產－流動淨額,0
　　　應收票據淨額,471
　　　應收帳款淨額,712941
　　　應收帳款－關係人淨額,166356
　　　其他應收款淨額,1467
　　　其他應收款－關係人淨額,2470
　　　存貨,779278
　　　預付款項,128982
　　　其他流動資產,110
　　流動資產合計,4606590
　　　透過其他綜合損益按公允價值衡量之金融資產－非流動,2310993
　　　備供出售金融資產－非流動淨額,0
　　　以成本衡量之金融資產－非流動淨額,0
　　　採用權益法之投資淨額,4597548
　　　不動產、廠房及設備,3502692
　　　投資性不動產淨額,513840
　　　無形資產,88
　　　遞延所得稅資產,62114
　　　其他非流動資產,3878
　　非流動資產合計,10991153
　資產總額,15597743
　　　短期借款,1350000
　　　應付短期票券,599914
　　　透過損益按公允價值衡量之金融負債－流動,2074
　　　應付帳款,258271
　　　應付帳款－關係人,83207
　　　其他應付款,138909
　　　其他應付款項－關係人,129404
　　　本期所得稅負債,10309
　　　負債準備－流動,0
　　　其他流動負債,31567
　　流動負債合計,2603655
　　　長期借款,3100000
　　　遞延所得稅負債,54057
　　　其他非流動負債,235595
　　非流動負債合計,3389652
　負債總額,5993307
　　　　普通股股本,5543827
　　　股本合計,5543827
　　　資本公積合計,19619
　　　　法定盈餘公積,1684469
　　　　特別盈餘公積,565379
　　　　未分配盈餘（或待彌補虧損）,1851499
　　　保留盈餘合計,4101347
　　　其他權益合計,-60357
　　　庫藏股票,0
　　歸屬於母公司業主之權益合計,9604436
　　共同控制下前手權益,0
　權益總額,9604436
　負債及權益總計,15597743
　待註銷股本股數（單位：股）,0
　預收股款（權益項下）之約當發行股數（單位：股）,0
　母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0
