會計科目,1308 亞聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,984841
　本期稅前淨利（淨損）,984841
　　　折舊費用,304100
　　　攤銷費用,35
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-44078
　　　利息費用,56163
　　　利息收入,-14876
　　　股利收入,-83146
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,-53117
　　　處分及報廢不動產、廠房及設備損失（利益）,20
　　　非金融資產減損損失,-4039
　　　未實現外幣兌換損失（利益）,4534
　　　收益費損項目合計,165596
　　　　強制透過損益按公允價值衡量之金融資產（增加）減少,-989589
　　　　應收票據（增加）減少,472
　　　　應收帳款（增加）減少,115232
　　　　應收帳款－關係人（增加）減少,9347
　　　　其他應收款（增加）減少,-28
　　　　其他應收款－關係人（增加）減少,-1545
　　　　存貨（增加）減少,396647
　　　　預付款項（增加）減少,-12812
　　　　與營業活動相關之資產之淨變動合計,-482276
　　　　持有供交易之金融負債增加（減少）,-2074
　　　　應付帳款增加（減少）,-123334
　　　　應付帳款－關係人增加（減少）,-31000
　　　　其他應付款增加（減少）,47298
　　　　其他應付款－關係人增加（減少）,38723
　　　　其他流動負債增加（減少）,-310
　　　　淨確定福利負債增加(減少),-37156
　　　　與營業活動相關之負債之淨變動合計,-107853
　　　與營業活動相關之資產及負債之淨變動合計,-590129
　　調整項目合計,-424533
　營運產生之現金流入（流出）,560308
　收取之利息,15143
　支付之利息,-55801
　退還（支付）之所得稅,-21029
營業活動之淨現金流入（流出）,498621
　取得透過其他綜合損益按公允價值衡量之金融資產,0
　處分透過其他綜合損益按公允價值衡量之金融資產,45727
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,24690
　取得採用權益法之投資,-1280719
　取得不動產、廠房及設備,-68524
　處分不動產、廠房及設備,182
　存出保證金增加,2
　取得無形資產,0
　收取之股利,147795
　其他投資活動,-31618
　投資活動之淨現金流入（流出）,-1162465
　短期借款增加,-250000
　應付短期票券減少,50000
　舉借長期借款,12500000
　償還長期借款,-11650000
　租賃本金償還,-5864
　其他非流動負債增加,1249
　發放現金股利,-166340
　籌資活動之淨現金流入（流出）,479045
匯率變動對現金及約當現金之影響,-10788
本期現金及約當現金增加（減少）數,-195587
期初現金及約當現金餘額,1134203
期末現金及約當現金餘額,938616
　資產負債表帳列之現金及約當現金,938616
