會計科目,1308 亞聚 (上市塑膠工業)
　銷貨收入淨額,9565813
營業收入合計,9565813
　銷貨成本,5968145
營業成本合計,5968145
營業毛利（毛損）,3597668
營業毛利（毛損）淨額,3597668
　　推銷費用,151241
　　管理費用,121018
　　研究發展費用,6154
　營業費用合計,278413
營業利益（損失）,3319255
　　利息收入,4381
　　其他收入,268292
　　其他利益及損失淨額,105050
　　財務成本淨額,22743
　　採用權益法認列之關聯企業及合資損益之份額淨額,63971
　營業外收入及支出合計,418951
稅前淨利（淨損）,3738206
所得稅費用（利益）合計,637079
繼續營業單位本期淨利（淨損）,3101127
本期淨利（淨損）,3101127
　　　確定福利計畫之再衡量數,-1434
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,959622
　　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,37768
　　　與不重分類之項目相關之所得稅,2572
　不重分類至損益之項目：,993384
　　　國外營運機構財務報表換算之兌換差額,-49087
　　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-6262
　　　與可能重分類之項目相關之所得稅,-9817
　後續可能重分類至損益之項目：,-45532
　其他綜合損益（淨額）,947852
本期綜合損益總額,4048979
　母公司業主（淨利∕損）,3101127
　母公司業主（綜合損益）,4048979
　基本每股盈餘,5.22
　稀釋每股盈餘,5.21
