會計科目,1308 亞聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,792928
　本期稅前淨利（淨損）,792928
　　　折舊費用,180969
　　　攤銷費用,1785
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-700
　　　利息費用,21895
　　　利息收入,-14389
　　　股利收入,-88723
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,-97677
　　　處分及報廢不動產、廠房及設備損失（利益）,34
　　　處分投資損失（利益）,11262
　　　非金融資產減損損失,-6731
　　　未實現外幣兌換損失（利益）,-8821
　　　收益費損項目合計,-1096
　　　　持有供交易之金融資產（增加）減少,-1030620
　　　　應收票據（增加）減少,-1057
　　　　應收帳款（增加）減少,-502245
　　　　應收帳款－關係人（增加）減少,50579
　　　　其他應收款（增加）減少,2300
　　　　其他應收款－關係人（增加）減少,-5254
　　　　存貨（增加）減少,127320
　　　　預付款項（增加）減少,-74918
　　　　其他流動資產（增加）減少,0
　　　　與營業活動相關之資產之淨變動合計,-1433895
　　　　應付帳款增加（減少）,-37601
　　　　應付帳款－關係人增加（減少）,36330
　　　　其他應付款增加（減少）,99914
　　　　其他應付款－關係人增加（減少）,34716
　　　　其他流動負債增加（減少）,6168
　　　　淨確定福利負債增加(減少),-85684
　　　　與營業活動相關之負債之淨變動合計,53843
　　　與營業活動相關之資產及負債之淨變動合計,-1380052
　　調整項目合計,-1381148
　營運產生之現金流入（流出）,-588220
　收取之利息,12253
　支付之利息,-20884
　退還（支付）之所得稅,-100569
營業活動之淨現金流入（流出）,-697420
　取得備供出售金融資產,-11812
　處分備供出售金融資產,13165
　以成本衡量之金融資產減資退回股款,17886
　對子公司之收購（扣除所取得之現金）,-95196
　採用權益法之被投資公司減資退回股款,6661
　取得不動產、廠房及設備,-333069
　處分不動產、廠房及設備,12
　存出保證金增加,-77
　取得無形資產,0
　收取之股利,128847
　投資活動之淨現金流入（流出）,-273583
　短期借款增加,740000
　應付短期票券增加,449836
　舉借長期借款,2450000
　其他非流動負債增加,-1025
　發放現金股利,-295896
　非控制權益變動,-41786
　籌資活動之淨現金流入（流出）,3301129
匯率變動對現金及約當現金之影響,-25092
本期現金及約當現金增加（減少）數,2305034
期初現金及約當現金餘額,507965
期末現金及約當現金餘額,2812999
　資產負債表帳列之現金及約當現金,2812999
