會計科目,1308 亞聚 (上市塑膠工業)
　　　現金及約當現金,2812999
　　　透過損益按公允價值衡量之金融資產－流動,1548462
　　　備供出售金融資產－流動淨額,40569
　　　應收票據淨額,1789
　　　應收帳款淨額,727801
　　　應收帳款－關係人淨額,190532
　　　其他應收款淨額,2345
　　　其他應收款－關係人淨額,59070
　　　存貨,673642
　　　預付款項,163093
　　　其他流動資產,110
　　流動資產合計,6220412
　　　備供出售金融資產－非流動淨額,2392067
　　　以成本衡量之金融資產－非流動淨額,282866
　　　採用權益法之投資淨額,1395172
　　　不動產、廠房及設備,3795553
　　　投資性不動產淨額,526445
　　　無形資產,1272
　　    遞延所得稅資產,53997
　　　其他非流動資產,2245
　　非流動資產合計,8449617
　資產總額,14670029
　　　短期借款,950000
　　　應付短期票券,699791
　　　透過損益按公允價值衡量之金融負債－流動,1732
　　　應付帳款,242765
　　　應付帳款－關係人,71847
　　　其他應付款,271475
　　    其他應付款項－關係人,118301
　　    本期所得稅負債,48520
　　　負債準備－流動,5899
　　　其他流動負債,15633
　　流動負債合計,2425963
　　　長期借款,2450000
　　　遞延所得稅負債,43307
　　　其他非流動負債,253554
　　非流動負債合計,2746861
　負債總額,5172824
　　　　普通股股本,5030240
　　　股本合計,5030240
　　　資本公積合計,14046
　　　　法定盈餘公積,1561352
　　　　特別盈餘公積,565379
　　　　未分配盈餘（或待彌補虧損）,2026291
　　　保留盈餘合計,4153022
　　　其他權益合計,299897
　　歸屬於母公司業主之權益合計,9497205
　　共同控制下前手權益,0
　　非控制權益,0
　權益總額,9497205
　負債及權益總額,14670029
　待註銷股本股數（單位：股）,0
　預收股款（權益項下）之約當發行股數（單位：股）,0
　母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0
