會計科目,1308 亞聚 (上市塑膠工業)
　銷貨收入淨額,6375134
營業收入合計,6375134
　銷貨成本,6090668
營業成本合計,6090668
營業毛利（毛損）,284466
營業毛利（毛損）淨額,284466
　　推銷費用,101522
　　管理費用,105930
　　研究發展費用,5032
　營業費用合計,212484
營業利益（損失）,71982
　　其他收入,179182
　　其他利益及損失淨額,10707
　　財務成本淨額,40142
　　採用權益法認列之關聯企業及合資損益之份額淨額,95134
　營業外收入及支出合計,244881
稅前淨利（淨損）,316863
所得稅費用（利益）合計,30037
繼續營業單位本期淨利（淨損）,286826
本期淨利（淨損）,286826
　　　確定福利計畫之再衡量數,-343
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-419766
　　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,-22166
　　　與不重分類之項目相關之所得稅,959
　　　國外營運機構財務報表換算之兌換差額,90
　　　備供出售金融資產未實現評價損益,0
　　　採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-3688
　　　與可能重分類之項目相關之所得稅,-1057
　其他綜合損益（淨額）,-445775
本期綜合損益總額,-158949
　母公司業主（淨利╱損）,286826
　共同控制下前手權益（淨利╱損）,0
　母公司業主（綜合損益）,-158949
　共同控制下前手權益（綜合損益）,0
　基本每股盈餘,0.52
　稀釋每股盈餘,0.52
